hypothesis,strategy,universe,signal_timeframes,kernel_mode,kernel_name,numerical_signal_kernel,supported,reason
l1_h8d.yaml,l1_h8_trend_continuation_pullback,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h8d.yaml,l1_h8_trend_continuation_pullback,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h8e.yaml,l1_h8_trend_continuation_pullback,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h8e.yaml,l1_h8_trend_continuation_pullback,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h9a_momentum_breakout.yaml,l1_h9_momentum_breakout,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h9a_momentum_breakout.yaml,l1_h9_momentum_breakout,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h9b_breakout_partial_runner.yaml,l1_h9_momentum_breakout,stable,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on precomputed context; classic strategy/risk/execution remain source of truth on actionable bars
l1_h9b_breakout_partial_runner.yaml,l1_h9_momentum_breakout,volatile,"15m,1h",htf_event_schedule_kernel,htf_event_schedule,False,True,htf_event_schedule_kernel enabled on streaming context; classic strategy/risk/execution remain source of truth on actionable bars
l7_h1_csi_gated_displacement_trend.yaml,l7_h1_csi_gated_displacement_trend,stable,"15m,1h",l7_h1_family_kernel,l7_h1_csi_displacement,True,True,compiled L7-H1 family feature kernel attached; classic engine remains source of truth for execution
l7_h1_csi_gated_displacement_trend.yaml,l7_h1_csi_gated_displacement_trend,volatile,"15m,1h",l7_h1_family_kernel,l7_h1_csi_displacement,True,True,compiled L7-H1 family feature kernel attached; classic engine remains source of truth for execution
